transaction_id,customer_id,amount,payment_method,location,device_type,new_device,location_change,transactions_last_hour,account_age_days,previous_fraud_count,fraud
TXN100027,CUST3130,1690.59,NetBanking,Chennai,Desktop,0,0,2,466,1,0
TXN100028,CUST1337,3382.44,UPI,Chennai,Tablet,0,0,0,94,1,0
TXN100029,CUST1380,1776.6,UPI,Delhi,Desktop,0,0,0,469,0,0
TXN100030,CUST1478,18463.37,Wallet,Pune,Mobile,0,0,1,497,0,0
TXN100031,CUST2257,5551.0,Card,Chennai,Mobile,0,0,1,509,0,0
TXN100032,CUST3871,6697.76,Wallet,Delhi,Tablet,0,0,2,235,0,0
TXN100033,CUST2769,6480.85,UPI,Bangalore,Mobile,0,1,2,76,0,0
TXN100034,CUST1115,2988.2,NetBanking,Pune,Mobile,0,0,2,171,0,0
TXN100035,CUST4205,279.51,UPI,Jaipur,Mobile,1,1,0,1554,0,0
TXN100036,CUST1499,16138.2,Card,Delhi,Mobile,0,0,0,795,0,0
TXN100037,CUST1169,485.9,UPI,Delhi,Desktop,0,0,3,100,0,0
TXN100038,CUST2205,11777.48,Wallet,Chennai,Mobile,0,0,2,291,3,0
TXN100039,CUST2112,1436.22,Card,Jaipur,Mobile,0,0,0,29,0,0
TXN100040,CUST2896,1263.57,Card,Hyderabad,Mobile,0,0,1,469,0,0
TXN100041,CUST2442,17615.53,UPI,Chennai,Mobile,0,0,1,615,0,0
TXN100042,CUST4367,2657.46,Card,Pune,Mobile,0,0,2,171,0,0
TXN100043,CUST1478,2002.51,UPI,Kolkata,Mobile,1,0,2,244,0,0
TXN100044,CUST3100,1707.51,Card,Pune,Mobile,0,0,1,172,0,0
TXN100045,CUST4021,20357.2,Card,Pune,Mobile,0,0,1,565,0,0
TXN100046,CUST1336,1467.25,UPI,Delhi,Mobile,0,0,1,548,0,0
TXN100047,CUST2930,34152.14,NetBanking,Bangalore,Desktop,1,0,1,989,0,0
TXN100048,CUST4669,1568.56,Card,Jaipur,Desktop,0,0,1,522,1,0
TXN100049,CUST3812,734.87,Card,Mumbai,Desktop,0,0,1,21,1,0
TXN100050,CUST2760,4717.31,UPI,Pune,Mobile,0,0,2,282,1,0
TXN100051,CUST4109,8900.49,Card,Chennai,Mobile,0,0,0,317,0,0
TXN100052,CUST1194,4716.41,Card,Jaipur,Mobile,0,0,3,191,0,0
TXN100053,CUST4432,4894.19,UPI,Mumbai,Mobile,0,1,0,1308,0,1
TXN100054,CUST2195,2587.55,NetBanking,Jaipur,Mobile,0,0,1,1040,1,0
TXN100055,CUST1547,542.54,Card,Chennai,Mobile,0,0,2,425,0,0
TXN100056,CUST2813,13818.6,Card,Bangalore,Desktop,0,1,0,235,0,0
TXN100057,CUST4636,216.76,Card,Jaipur,Mobile,0,0,0,206,0,0
TXN100058,CUST4167,8941.45,UPI,Bangalore,Desktop,0,0,1,293,0,0
TXN100059,CUST1407,2281.87,UPI,Bangalore,Desktop,0,0,0,194,0,0
TXN100060,CUST2820,12385.26,Card,Jaipur,Mobile,1,1,0,8,2,1
TXN100061,CUST1006,1166.09,Card,Mumbai,Mobile,0,0,1,96,0,0
TXN100062,CUST1969,1319.26,Card,Chennai,Mobile,0,0,1,280,0,0
TXN100063,CUST1552,4332.63,Card,Bangalore,Tablet,0,0,0,159,0,0
TXN100064,CUST3476,2419.01,NetBanking,Chennai,Mobile,0,0,2,67,0,0
TXN100065,CUST4196,14394.94,Card,Chennai,Desktop,0,0,1,799,0,0
TXN100066,CUST3832,16238.54,UPI,Pune,Desktop,0,1,0,88,0,0
TXN100067,CUST4972,3687.08,Card,Chennai,Mobile,0,0,2,17,0,0
TXN100068,CUST4344,10886.42,UPI,Jaipur,Mobile,0,1,1,459,0,0
TXN100069,CUST4933,4623.72,NetBanking,Kolkata,Mobile,0,0,2,32,0,0
TXN100070,CUST4846,17704.15,Card,Bangalore,Mobile,0,0,1,391,0,0
TXN100071,CUST4615,1361.33,Card,Pune,Desktop,0,0,3,746,1,0
TXN100072,CUST3434,1672.39,Card,Bangalore,Mobile,0,0,2,139,0,0
TXN100073,CUST3738,7579.71,Card,Bangalore,Mobile,0,0,0,690,0,0
TXN100074,CUST2873,4948.06,UPI,Delhi,Mobile,0,0,0,1604,1,0
TXN100075,CUST4506,10325.94,NetBanking,Bangalore,Tablet,0,0,0,2270,0,0
TXN100076,CUST3467,2323.37,NetBanking,Kolkata,Mobile,1,0,0,44,0,0
TXN100077,CUST4089,1836.42,NetBanking,Delhi,Mobile,0,0,1,104,0,0
TXN100078,CUST3840,17675.45,Card,Jaipur,Desktop,0,0,1,59,0,0
TXN100079,CUST3146,3957.17,UPI,Hyderabad,Mobile,0,0,2,507,0,0
TXN100080,CUST1120,4595.21,Card,Pune,Mobile,0,0,0,572,2,0
TXN100081,CUST4682,1663.51,Card,Pune,Mobile,0,0,3,354,0,0
TXN100082,CUST4973,1609.35,Card,Chennai,Mobile,0,0,2,507,0,0
TXN100083,CUST3639,5932.46,UPI,Bangalore,Mobile,0,0,1,86,0,0
TXN100084,CUST3125,9486.37,Wallet,Hyderabad,Desktop,0,1,2,119,0,0
TXN100085,CUST2369,7312.21,UPI,Hyderabad,Mobile,0,0,2,547,0,0
TXN100086,CUST4442,1184.23,NetBanking,Jaipur,Mobile,0,1,1,319,0,0
TXN100087,CUST3805,330.88,UPI,Chennai,Tablet,0,0,0,147,0,0
TXN100088,CUST4500,1971.31,Card,Kolkata,Desktop,0,0,0,413,3,0
TXN100089,CUST4695,5891.49,Wallet,Jaipur,Desktop,0,0,1,310,0,0
TXN100090,CUST3343,18023.92,Card,Hyderabad,Mobile,0,0,1,312,0,0
TXN100091,CUST1462,631.39,NetBanking,Chennai,Mobile,0,0,1,339,0,0
TXN100092,CUST4162,4111.06,Card,Chennai,Mobile,0,0,0,98,0,0
TXN100093,CUST4997,20683.76,Wallet,Delhi,Mobile,0,0,2,860,0,0
TXN100094,CUST4328,15274.22,NetBanking,Kolkata,Desktop,0,1,1,156,0,0
TXN100095,CUST3135,5975.06,Card,Bangalore,Mobile,0,0,1,1183,0,0
TXN100096,CUST4443,2726.08,Card,Delhi,Desktop,0,0,0,698,0,0
TXN100097,CUST1876,3699.6,Card,Hyderabad,Mobile,0,0,2,619,0,0
TXN100098,CUST2794,3646.32,UPI,Mumbai,Mobile,0,0,1,95,0,0
TXN100099,CUST3842,2440.74,NetBanking,Bangalore,Mobile,0,0,2,125,0,0
TXN100100,CUST3087,9322.2,Card,Mumbai,Mobile,0,0,1,78,0,0
TXN100101,CUST2879,2745.4,NetBanking,Delhi,Mobile,0,0,0,1,0,0
TXN100102,CUST2690,3253.1,Card,Delhi,Mobile,0,0,0,298,0,0
TXN100103,CUST4718,799.66,NetBanking,Delhi,Mobile,0,0,1,191,0,0
TXN100104,CUST2295,6737.84,Card,Delhi,Tablet,0,0,2,34,1,0
TXN100105,CUST1512,7186.86,UPI,Hyderabad,Mobile,0,0,1,560,0,0
TXN100106,CUST2804,1515.34,Card,Bangalore,Mobile,0,0,3,547,0,0
TXN100107,CUST2556,2226.37,UPI,Jaipur,Mobile,0,1,0,509,0,0
TXN100108,CUST2569,1833.6,Wallet,Pune,Tablet,0,0,0,242,1,1
TXN100109,CUST4146,3549.08,Card,Chennai,Mobile,1,0,2,158,0,0
TXN100110,CUST4512,221.23,UPI,Jaipur,Mobile,0,0,4,190,0,0
TXN100111,CUST4179,5677.97,Card,Jaipur,Desktop,0,0,1,480,3,0
TXN100112,CUST2506,4682.78,UPI,Delhi,Desktop,0,0,0,13,0,0
TXN100113,CUST2619,28153.99,Wallet,Mumbai,Desktop,0,0,0,136,0,0
TXN100114,CUST4974,5216.22,UPI,Bangalore,Tablet,0,0,0,199,0,0
TXN100115,CUST4338,2407.07,Card,Delhi,Mobile,0,0,0,1318,0,0
TXN100116,CUST4857,14331.26,Card,Mumbai,Mobile,1,0,1,371,0,0
TXN100117,CUST2545,4038.39,UPI,Pune,Mobile,0,0,4,998,0,0
TXN100118,CUST1823,7065.07,Card,Pune,Tablet,0,0,0,573,0,0
TXN100119,CUST3274,7457.11,Card,Mumbai,Tablet,1,1,0,316,0,0
TXN100120,CUST2751,3754.93,Card,Hyderabad,Tablet,0,0,1,711,0,0
TXN100121,CUST1675,1310.43,UPI,Jaipur,Tablet,0,0,1,203,0,0
TXN100122,CUST1267,17722.25,Card,Jaipur,Mobile,0,0,1,230,0,0
TXN100123,CUST3592,18286.15,NetBanking,Kolkata,Desktop,0,0,0,817,0,0
TXN100124,CUST3023,815.43,NetBanking,Bangalore,Desktop,0,0,2,492,0,0
TXN100125,CUST4824,23776.14,Card,Delhi,Mobile,0,0,1,27,0,0
TXN100126,CUST2093,3551.22,Card,Hyderabad,Mobile,0,0,1,161,0,0
TXN100127,CUST2443,2884.46,Card,Bangalore,Mobile,0,0,2,103,0,0
TXN100128,CUST1943,1658.45,Card,Jaipur,Desktop,0,0,1,498,0,0
TXN100129,CUST2908,6706.93,Card,Chennai,Mobile,0,0,3,545,3,1
TXN100130,CUST2072,2806.45,Card,Kolkata,Desktop,0,0,4,1554,0,0
TXN100131,CUST1701,3101.4,Card,Kolkata,Desktop,1,1,3,44,0,1
TXN100132,CUST2730,2858.55,Card,Jaipur,Mobile,0,0,1,674,0,0
TXN100133,CUST3075,1680.13,Card,Jaipur,Desktop,1,0,1,529,0,0
TXN100134,CUST4931,5181.94,UPI,Mumbai,Mobile,0,0,2,387,0,0
TXN100135,CUST2855,4513.32,Card,Hyderabad,Mobile,0,0,0,414,0,0
TXN100136,CUST2596,6871.54,NetBanking,Kolkata,Mobile,0,0,2,360,0,0
TXN100137,CUST4469,1459.94,Card,Pune,Mobile,0,0,0,162,1,0
TXN100138,CUST2151,705.34,UPI,Chennai,Mobile,0,0,3,323,1,0
TXN100139,CUST3711,649.44,UPI,Bangalore,Mobile,0,0,0,451,0,0
TXN100140,CUST2649,4964.91,Card,Chennai,Desktop,0,0,2,292,1,0
TXN100141,CUST4318,698.73,UPI,Jaipur,Mobile,0,0,1,330,1,0
TXN100142,CUST4780,645.63,Card,Hyderabad,Mobile,0,0,0,211,0,0
TXN100143,CUST1108,2115.95,Card,Hyderabad,Tablet,0,0,0,427,0,0
TXN100144,CUST4247,7369.39,NetBanking,Pune,Mobile,0,0,0,213,0,0
TXN100145,CUST1480,30189.24,Card,Mumbai,Mobile,0,0,0,978,1,1
TXN100146,CUST2789,808.22,UPI,Hyderabad,Mobile,0,0,2,780,0,0
TXN100147,CUST1310,2119.8,NetBanking,Jaipur,Desktop,0,0,1,111,0,0
TXN100148,CUST1540,1547.87,UPI,Jaipur,Desktop,0,0,2,580,0,0
TXN100149,CUST3183,875.79,NetBanking,Hyderabad,Desktop,0,0,2,441,0,0
TXN100150,CUST2926,7758.45,UPI,Kolkata,Tablet,0,0,1,360,0,0
TXN100151,CUST4076,2544.61,Card,Bangalore,Desktop,0,1,0,473,0,0
TXN100152,CUST1922,3638.7,NetBanking,Mumbai,Tablet,0,0,1,517,0,0
TXN100153,CUST1815,1383.53,Wallet,Bangalore,Mobile,0,0,4,321,0,0
TXN100154,CUST3189,4010.85,Card,Kolkata,Mobile,0,0,0,1259,3,1
TXN100155,CUST2785,3774.28,NetBanking,Jaipur,Mobile,0,0,0,332,0,0
TXN100156,CUST3326,11477.2,Card,Jaipur,Mobile,0,0,0,227,0,0
TXN100157,CUST4615,4717.94,Card,Chennai,Mobile,1,0,1,515,0,0
TXN100158,CUST2438,8081.56,UPI,Pune,Mobile,0,0,0,182,0,0
TXN100159,CUST3413,2716.08,UPI,Chennai,Mobile,0,0,3,7,0,0
TXN100160,CUST1071,1015.36,Wallet,Chennai,Tablet,0,0,0,306,0,0
TXN100161,CUST3455,1848.9,NetBanking,Delhi,Desktop,0,0,0,235,1,0
TXN100162,CUST4877,9441.29,Card,Jaipur,Desktop,0,0,1,1349,0,0
TXN100163,CUST3474,4041.25,Card,Chennai,Tablet,0,0,2,242,2,0
TXN100164,CUST4015,515.93,UPI,Pune,Mobile,0,0,0,297,0,0
TXN100165,CUST2957,2808.08,NetBanking,Kolkata,Mobile,0,0,0,783,0,0
TXN100166,CUST3457,8491.68,Card,Kolkata,Mobile,0,0,1,112,0,1
TXN100167,CUST1087,1565.66,UPI,Mumbai,Mobile,0,0,1,308,0,0
TXN100168,CUST3529,41588.04,NetBanking,Chennai,Tablet,1,0,1,116,2,1
TXN100169,CUST4370,905.97,UPI,Delhi,Mobile,0,0,0,228,0,0
TXN100170,CUST4720,1526.93,Card,Delhi,Mobile,0,0,1,110,0,0
TXN100171,CUST1745,2352.88,Wallet,Mumbai,Mobile,0,0,1,503,0,0
TXN100172,CUST2866,1219.54,UPI,Hyderabad,Mobile,0,0,1,184,0,0
TXN100173,CUST4747,1876.21,NetBanking,Jaipur,Desktop,1,1,1,53,0,0
TXN100174,CUST1056,2934.8,UPI,Bangalore,Tablet,0,0,0,169,0,0
TXN100175,CUST2540,1330.57,Card,Hyderabad,Mobile,1,1,0,152,0,1
TXN100176,CUST4095,7276.06,Card,Delhi,Desktop,0,0,1,199,0,0
TXN100177,CUST4080,1660.37,Wallet,Hyderabad,Mobile,0,0,0,297,0,0
TXN100178,CUST1169,4529.82,Card,Pune,Mobile,0,1,0,453,0,0
TXN100179,CUST2029,4503.0,Card,Hyderabad,Mobile,0,0,1,1123,0,0
TXN100180,CUST1679,14545.35,UPI,Chennai,Desktop,0,0,3,304,0,0
TXN100181,CUST2034,1434.51,UPI,Bangalore,Desktop,0,1,2,162,0,0
TXN100182,CUST4999,15233.83,Card,Kolkata,Mobile,0,0,1,21,0,0
TXN100183,CUST2664,5263.47,UPI,Kolkata,Mobile,0,0,1,112,0,0
TXN100184,CUST3994,3184.38,Wallet,Jaipur,Desktop,0,0,1,46,0,0
TXN100185,CUST1787,3697.75,Card,Mumbai,Mobile,1,0,0,98,0,0
TXN100186,CUST3793,15075.94,Card,Jaipur,Tablet,0,0,4,1106,0,0
TXN100187,CUST4476,4298.47,NetBanking,Chennai,Mobile,0,0,3,52,0,0
TXN100188,CUST4552,1349.17,Card,Hyderabad,Desktop,0,0,1,96,0,0
TXN100189,CUST1172,13124.54,UPI,Chennai,Mobile,0,0,0,643,0,0
TXN100190,CUST4592,1535.7,UPI,Kolkata,Tablet,0,0,1,324,0,0
TXN100191,CUST2613,4186.22,Card,Delhi,Mobile,0,0,2,135,0,0
TXN100192,CUST3759,44585.92,Card,Delhi,Desktop,0,0,2,101,0,0
TXN100193,CUST4342,2600.01,NetBanking,Kolkata,Mobile,0,0,1,71,0,0
TXN100194,CUST1600,4950.11,Wallet,Hyderabad,Desktop,0,0,1,88,0,0
TXN100195,CUST2307,3688.18,UPI,Hyderabad,Mobile,0,0,1,500,0,0
TXN100196,CUST1034,3996.31,Card,Chennai,Mobile,0,0,1,1976,0,1
TXN100197,CUST4964,1701.14,UPI,Mumbai,Mobile,0,0,1,69,0,0
TXN100198,CUST2189,20505.93,UPI,Kolkata,Mobile,0,0,1,410,0,0
TXN100199,CUST1269,1084.93,UPI,Mumbai,Tablet,0,0,0,370,0,0
TXN100200,CUST3344,7726.74,UPI,Jaipur,Mobile,0,1,3,77,1,0
TXN100201,CUST3157,1016.56,Card,Kolkata,Mobile,0,0,0,135,0,0
TXN100202,CUST1404,2465.02,UPI,Pune,Mobile,0,0,3,514,0,0
TXN100203,CUST2785,469.98,Card,Kolkata,Desktop,1,0,2,25,0,0
TXN100204,CUST2353,4075.38,Card,Mumbai,Desktop,1,0,2,44,0,0
TXN100205,CUST4534,1250.4,Wallet,Jaipur,Mobile,0,0,0,74,0,0
TXN100206,CUST4761,2317.89,Card,Chennai,Tablet,0,0,1,696,0,0
TXN100207,CUST3194,2242.71,Card,Jaipur,Mobile,0,0,1,251,0,0
TXN100208,CUST3761,26854.26,UPI,Chennai,Mobile,0,0,3,288,1,0
TXN100209,CUST3110,8927.11,Card,Mumbai,Mobile,0,0,1,378,0,0
TXN100210,CUST1100,11042.81,UPI,Jaipur,Mobile,0,0,1,299,0,0
TXN100211,CUST3619,4171.85,Card,Hyderabad,Tablet,0,0,1,909,0,0
TXN100212,CUST1104,29212.55,Wallet,Hyderabad,Desktop,0,0,1,410,0,1
TXN100213,CUST1497,1405.46,UPI,Pune,Mobile,0,0,2,381,0,0
TXN100214,CUST3456,6309.22,Card,Hyderabad,Mobile,0,0,2,673,2,0
TXN100215,CUST4292,3830.17,NetBanking,Chennai,Tablet,0,0,1,1223,0,0
TXN100216,CUST1329,4452.43,Card,Jaipur,Mobile,0,0,1,203,0,0
TXN100217,CUST4039,6040.49,UPI,Pune,Mobile,0,0,0,144,0,0
TXN100218,CUST4707,443.56,UPI,Jaipur,Mobile,0,0,3,914,0,0
TXN100219,CUST2869,1875.67,UPI,Hyderabad,Desktop,0,0,3,158,0,0
TXN100220,CUST4414,1983.81,NetBanking,Chennai,Mobile,0,0,1,157,0,0
TXN100221,CUST4278,2877.43,Card,Pune,Mobile,0,0,4,296,0,0
TXN100222,CUST3571,1137.83,Card,Chennai,Tablet,0,0,2,111,0,0
TXN100223,CUST2421,2484.63,NetBanking,Bangalore,Mobile,0,1,1,60,0,0
TXN100224,CUST2336,6208.77,UPI,Delhi,Mobile,0,1,0,99,0,0
TXN100225,CUST2442,710.46,NetBanking,Pune,Desktop,0,0,0,579,0,0
TXN100226,CUST4190,10402.31,NetBanking,Hyderabad,Desktop,0,0,0,50,0,0
TXN100227,CUST2781,5655.26,Wallet,Chennai,Desktop,0,0,0,304,1,0
TXN100228,CUST2038,11422.11,UPI,Delhi,Mobile,1,0,1,190,1,0
TXN100229,CUST1300,869.46,NetBanking,Kolkata,Desktop,0,0,2,159,0,0
TXN100230,CUST1476,11175.31,UPI,Chennai,Mobile,0,0,2,614,0,0
TXN100231,CUST3234,11931.18,Card,Hyderabad,Mobile,0,0,0,96,0,0
TXN100232,CUST3945,9029.8,NetBanking,Chennai,Mobile,1,0,3,29,0,0
TXN100233,CUST2731,19052.57,NetBanking,Hyderabad,Mobile,0,0,1,492,0,0
TXN100234,CUST2283,1533.98,NetBanking,Hyderabad,Desktop,0,0,1,98,0,0
TXN100235,CUST1495,1236.33,Card,Pune,Mobile,0,0,1,817,0,0
TXN100236,CUST2098,2023.99,Card,Delhi,Mobile,1,1,0,289,0,0
TXN100237,CUST4765,3677.88,Card,Hyderabad,Mobile,1,0,0,31,0,0
TXN100238,CUST2680,6699.33,UPI,Chennai,Mobile,0,1,1,298,0,0
TXN100239,CUST3694,3069.77,UPI,Mumbai,Mobile,0,1,3,308,0,0
TXN100240,CUST1239,7303.84,UPI,Chennai,Mobile,0,1,0,38,0,0
TXN100241,CUST1343,4140.94,Card,Kolkata,Mobile,0,0,2,428,0,0
TXN100242,CUST4501,6391.12,Wallet,Kolkata,Mobile,0,0,1,1278,0,0
TXN100243,CUST4189,961.56,Wallet,Mumbai,Tablet,0,1,0,535,0,0
TXN100244,CUST3603,12795.49,UPI,Mumbai,Mobile,0,0,0,197,0,0
TXN100245,CUST3425,1185.91,Card,Kolkata,Mobile,0,0,1,139,0,0
TXN100246,CUST2891,1602.42,UPI,Delhi,Desktop,0,0,1,62,0,0
TXN100247,CUST3359,14642.39,NetBanking,Kolkata,Mobile,0,0,0,1039,0,0
TXN100248,CUST1938,228.67,Card,Hyderabad,Mobile,0,0,2,1432,0,0
TXN100249,CUST1257,626.44,NetBanking,Hyderabad,Mobile,0,0,1,357,0,0
TXN100250,CUST3998,1536.58,Card,Hyderabad,Tablet,0,0,2,301,0,0
TXN100251,CUST1606,4647.95,UPI,Mumbai,Mobile,0,0,2,123,1,0
TXN100252,CUST2793,14384.77,UPI,Delhi,Mobile,0,0,1,112,1,0
TXN100253,CUST1455,2290.97,Card,Mumbai,Desktop,0,0,1,1585,1,0
TXN100254,CUST2561,1999.86,Card,Bangalore,Mobile,0,0,5,52,0,0
TXN100255,CUST4750,3276.49,Card,Delhi,Mobile,0,0,1,540,0,0
TXN100256,CUST1648,9680.62,Card,Kolkata,Mobile,0,0,0,218,0,0
TXN100257,CUST3885,55215.0,Card,Bangalore,Desktop,0,0,3,365,0,0
TXN100258,CUST3557,8499.55,NetBanking,Hyderabad,Desktop,0,0,0,251,0,0
TXN100259,CUST1280,2169.16,Card,Delhi,Mobile,0,0,0,1,0,0
TXN100260,CUST1306,15698.6,Card,Chennai,Desktop,0,0,1,278,0,0
TXN100261,CUST4748,877.56,UPI,Chennai,Mobile,1,0,1,667,0,1
TXN100262,CUST1107,921.85,Card,Chennai,Mobile,0,0,0,15,0,0
TXN100263,CUST1250,1056.35,Card,Mumbai,Mobile,0,0,5,417,0,0
TXN100264,CUST2322,9128.68,Card,Delhi,Mobile,0,0,1,361,0,0
TXN100265,CUST3073,1689.11,Card,Mumbai,Mobile,0,0,2,186,0,0
TXN100266,CUST3224,10660.83,Card,Jaipur,Mobile,0,0,2,374,0,0
TXN100267,CUST1405,6777.81,NetBanking,Delhi,Mobile,0,0,0,348,0,0
TXN100268,CUST4053,3205.48,Card,Jaipur,Tablet,0,0,0,676,0,0
TXN100269,CUST1421,6171.27,Card,Jaipur,Desktop,0,0,1,609,0,0
TXN100270,CUST2410,13754.06,Card,Hyderabad,Desktop,0,0,0,104,0,0
TXN100271,CUST2276,7166.29,Wallet,Hyderabad,Mobile,0,0,0,186,0,0
TXN100272,CUST3949,1425.16,Card,Mumbai,Mobile,0,0,2,284,0,1
TXN100273,CUST1892,2422.59,UPI,Chennai,Tablet,0,0,2,303,0,0
TXN100274,CUST2360,5623.21,UPI,Mumbai,Desktop,0,0,0,283,0,0
TXN100275,CUST1154,357.47,Card,Jaipur,Mobile,0,0,1,172,0,0
TXN100276,CUST2258,1174.56,UPI,Mumbai,Mobile,0,0,1,638,0,0
TXN100277,CUST2697,6669.36,UPI,Kolkata,Mobile,1,0,0,115,1,0
TXN100278,CUST3195,7423.27,UPI,Jaipur,Tablet,0,0,0,66,1,0
TXN100279,CUST3767,8575.91,Card,Delhi,Desktop,1,0,1,127,3,1
TXN100280,CUST1403,3873.16,UPI,Kolkata,Desktop,0,0,0,446,1,1
TXN100281,CUST4443,2819.73,NetBanking,Bangalore,Mobile,0,0,0,34,0,0
TXN100282,CUST1991,2044.98,Wallet,Hyderabad,Mobile,0,0,2,262,0,0
TXN100283,CUST4515,5081.76,Card,Delhi,Mobile,1,1,0,6,0,1
TXN100284,CUST4129,2681.4,Wallet,Kolkata,Tablet,0,1,0,2129,0,0
TXN100285,CUST4867,1150.78,Card,Pune,Mobile,1,1,3,644,0,0
TXN100286,CUST4353,7947.62,UPI,Delhi,Mobile,0,0,2,350,0,0
TXN100287,CUST3868,4132.53,NetBanking,Mumbai,Desktop,1,0,1,256,0,0
TXN100288,CUST3725,28705.68,NetBanking,Chennai,Mobile,0,0,1,457,0,0
TXN100289,CUST4061,30257.95,UPI,Pune,Mobile,0,0,0,757,1,0
TXN100290,CUST2893,30790.26,Card,Delhi,Mobile,0,0,2,65,0,0
TXN100291,CUST2883,35252.23,Card,Kolkata,Mobile,0,0,2,328,0,0
TXN100292,CUST2993,346.8,NetBanking,Jaipur,Tablet,0,0,0,387,0,0
TXN100293,CUST1561,1273.03,NetBanking,Jaipur,Mobile,0,0,2,86,3,1
TXN100294,CUST4660,4348.9,UPI,Hyderabad,Desktop,0,1,2,1145,0,0
TXN100295,CUST4990,3161.52,Card,Hyderabad,Desktop,0,0,0,344,0,0
TXN100296,CUST1985,20435.46,Card,Mumbai,Mobile,0,0,1,350,0,0
TXN100297,CUST4857,2518.89,Card,Bangalore,Desktop,0,0,1,196,1,0
TXN100298,CUST4860,6804.16,Card,Pune,Mobile,0,0,1,724,0,0
TXN100299,CUST4263,8018.43,Card,Delhi,Mobile,0,0,0,636,0,0
TXN100300,CUST1812,8633.88,Card,Chennai,Mobile,0,0,0,119,0,0
TXN100301,CUST1844,3402.17,Card,Bangalore,Mobile,0,0,2,799,0,0
TXN100302,CUST2112,56500.95,UPI,Bangalore,Mobile,0,0,1,984,0,0
TXN100303,CUST3401,8648.74,Card,Mumbai,Mobile,0,0,2,303,0,0
TXN100304,CUST3737,5340.23,UPI,Jaipur,Mobile,1,0,1,185,0,0
TXN100305,CUST3553,880.23,UPI,Mumbai,Mobile,0,0,6,717,0,0
TXN100306,CUST4899,17544.31,Card,Kolkata,Mobile,0,0,4,538,2,0
TXN100307,CUST2000,5668.53,UPI,Mumbai,Desktop,0,0,0,240,0,0
TXN100308,CUST4711,434.48,Card,Delhi,Mobile,0,0,1,314,0,0
TXN100309,CUST4759,4888.06,UPI,Kolkata,Tablet,0,0,1,67,0,0
TXN100310,CUST4731,3034.45,NetBanking,Bangalore,Mobile,1,0,1,693,0,0
TXN100311,CUST3249,2680.93,Card,Delhi,Desktop,0,0,1,45,0,0
TXN100312,CUST1629,3830.78,Card,Delhi,Desktop,0,0,0,145,0,0
TXN100313,CUST2119,83268.35,Card,Delhi,Desktop,0,1,1,259,0,0
TXN100314,CUST4742,7295.3,Card,Pune,Desktop,0,0,0,313,0,0
TXN100315,CUST2131,2835.11,NetBanking,Hyderabad,Desktop,0,0,0,300,0,0
TXN100316,CUST2696,6969.88,Card,Chennai,Mobile,0,0,0,1384,0,0
TXN100317,CUST1112,12082.57,UPI,Pune,Desktop,0,0,0,256,0,0
TXN100318,CUST1479,2534.29,Card,Pune,Tablet,0,0,1,391,0,0
